CGPA,Programming_Skill,Technical_Skill,Communication_Skill,Aptitude_Score,Study_Hours_Per_Week,Projects,Internships,Backlogs,Attendance_Percent,Skill_Score,Placement_Status
6.872700594236813,7,6,7,51,39.34049838579857,0,2,0,56.113642636067475,61.21166665292316,0
9.75357153204958,3,8,2,55,40.93092474957494,2,0,1,59.13942666824498,47.856962523696225,0
8.659969709057025,7,7,9,90,8.870245934831612,1,0,0,97.54208330858674,66.52320377215094,0
7.993292420985183,8,8,4,79,39.70687966416269,3,3,0,92.12237454038541,76.30810901998909,1
5.780093202212183,10,9,9,77,57.42804483296781,1,3,0,69.39494507282032,76.03150911375303,1
5.779972601681013,6,6,2,81,34.7542429540446,3,3,0,81.92282243585147,62.90114350016274,0
5.290418060840997,10,3,10,76,44.339689538008436,6,1,2,97.14850947154778,60.566591152904614,0
9.330880728874675,9,10,4,68,35.62027692675698,7,1,0,60.59294514320421,79.99095654201007,1
8.005575058716044,6,3,5,57,52.01073402255883,4,3,1,52.95052351115003,58.79860662419958,0
8.540362888980226,9,1,2,49,56.12707020286629,1,1,0,76.87340322526526,52.4467325676039,0
5.102922471479012,4,5,10,81,15.132094461299761,4,2,0,57.129843933179664,65.96035488380738,0
9.849549260809972,8,4,1,78,29.02730201064196,5,3,0,59.365954635568755,73.12357500357723,0
9.162213204002109,4,9,7,57,26.58101555129967,5,3,2,94.57695948657897,68.68765724456122,0
6.061695553391381,2,9,10,40,27.286831781460325,7,1,0,50.370172932244564,63.30726289831051,0
5.909124836035503,10,5,1,78,11.903829967533174,6,0,1,90.84100132319342,55.43189446129545,0
5.917022549267169,9,10,8,60,49.74886492893956,2,3,0,75.84753881678037,75.92254951512986,1
6.521211214797688,5,4,3,40,6.967143365821439,4,1,4,77.96471938226502,32.04279831443013,0
7.623782158161189,4,7,10,54,34.05246342499363,3,1,1,83.58839802281813,60.34419391311925,0
7.159725093210579,2,6,6,43,41.40331134245802,2,0,1,71.57224961540052,41.26111859704335,0
6.456145700990209,1,4,7,99,16.410819093238246,1,3,2,55.78059440962074,44.3171801289068,0
8.059264473611897,7,10,10,100,54.821760565433756,1,0,0,55.14101119024119,69.86903105972195,0
5.697469303260209,6,2,1,59,51.12020638636362,3,2,1,87.71810995919714,48.085099057347655,0
6.4607232426760905,2,1,6,49,30.90960512161589,0,0,0,61.05175716336424,33.02529930896883,0
6.831809216468459,8,4,7,62,27.613191278707628,7,0,0,51.40508418088221,60.456708044190556,0
7.28034992108518,4,4,6,80,18.0112358866105,0,1,0,98.98069445494706,53.1681416472818,0
8.925879806965067,8,1,4,73,45.149627355473,7,0,0,99.01957596803467,60.634461486665124,0
5.998368910791799,7,6,1,99,12.245908979758028,1,2,0,68.907066867189,60.886411752571625,0
7.571172192068058,5,4,9,85,42.41307646140807,7,1,0,51.27619222785566,67.0591094689778,0
7.962072844310212,10,1,4,87,51.335134236512744,6,2,0,86.36323292963749,73.09716561589715,0
5.232252063599988,10,1,7,72,17.565936675436305,6,0,0,91.55060302428346,58.675825556225426,0
8.037724259507192,8,1,7,73,52.65350715943159,3,2,0,56.25068450579049,65.98735025716202,0
5.8526206184364575,9,8,2,78,6.832775969172965,0,2,3,56.772930745461814,47.20409239383791,0
5.325257964926397,5,10,1,100,55.20330619625889,4,0,2,91.11119998483953,49.16429045167871,0
9.744427686266667,10,8,8,49,11.509922531821392,1,0,3,96.09536943576174,53.888025099285706,0
9.828160165372797,5,2,8,93,40.5167547865918,5,1,0,89.53774183370749,70.45600781308524,0
9.041986740582306,2,7,7,59,18.7545357902668,4,1,0,60.03724745847648,63.66930089904046,0
6.523068845866853,5,8,8,40,51.010381514328756,3,3,3,70.57606097171104,51.657832358230806,0
5.48836057003192,3,8,3,52,33.17651985035066,5,1,2,80.04212129329571,47.03034442603013,0
8.421165132560784,7,10,2,40,12.438265518557575,4,0,1,58.01467369104144,57.097962052288054,0
7.200762468698007,10,7,7,44,36.404536422928814,0,2,0,60.53012463162541,67.71371701997609,0
5.610191174223894,5,5,8,55,27.43354356083407,7,2,0,64.14430360342774,66.23957634591491,0
7.475884550556351,8,1,1,54,41.379629913720564,6,1,1,75.47566351454182,51.18479187035767,0
5.171942605576092,1,9,10,88,53.50468066199027,0,1,0,75.54024435887737,55.706207820101106,0
9.546602010393912,3,7,9,67,27.516402215088014,5,0,0,90.71472596737763,67.71467402016496,0
6.293899908000085,3,2,4,70,20.943437374362283,7,2,1,87.65051003438128,53.12665822917815,0
8.31261142176991,9,6,4,62,5.7983301990184835,7,3,1,95.6867837554971,72.74690740138388,0
6.558555380447055,5,2,3,87,36.61614708229312,7,3,0,91.64508614122983,63.051963229426946,0
7.600340105889054,9,1,6,84,27.125112208728844,2,1,0,62.693877415282735,59.72144640267605,0
7.733551396716399,9,7,1,82,25.60570704581558,6,3,4,66.5648384652,54.73194180704505,0
5.924272277627635,1,2,6,56,15.061442670631688,1,0,0,75.02116218162669,35.473265962459585,0
9.847923138822793,2,2,2,88,28.653043985520085,5,3,1,50.713556728182226,56.8752885411102,0
8.875664116805574,5,5,9,73,59.144307447085254,3,1,1,95.19510031418608,62.95903499928468,0
9.697494707820946,4,5,2,52,21.376478451973437,1,0,1,52.21721062811696,41.795631523208144,0
